article_id,article_title,url,line_number,line_type,line_text
note-target-103-card,ターゲットNo.103対戦カード,https://note.com/xyz1090/n/n9782736d400d,4,matchup,ターゲットNo.103対戦カード｜アラカク通信のーと
note-target-103-card,ターゲットNo.103対戦カード,https://note.com/xyz1090/n/n9782736d400d,31,matchup,ターゲットNo.103対戦カード
note-target-103-card,ターゲットNo.103対戦カード,https://note.com/xyz1090/n/n9782736d400d,46,matchup,ターゲットNo.103対戦カード
note-target-103-card,ターゲットNo.103対戦カード,https://note.com/xyz1090/n/n9782736d400d,47,result,☆ライト級タイトルマッチ
note-target-103-result,ターゲットNo.103試合結果,https://note.com/xyz1090/n/n8b5fb1f69636,47,result,☆ライト級タイトルマッチ
note-target-103-result,ターゲットNo.103試合結果,https://note.com/xyz1090/n/n8b5fb1f69636,51,result_with_time,（2R2分16秒KO カウンターフック）
note-target-103-result,ターゲットNo.103試合結果,https://note.com/xyz1090/n/n8b5fb1f69636,52,result,わくがタイトル防衛成功（防衛3度目）
note-target-103-result,ターゲットNo.103試合結果,https://note.com/xyz1090/n/n8b5fb1f69636,62,result_with_time,（1R3分06秒KO マウントパンチ連打）
note-target-103-result,ターゲットNo.103試合結果,https://note.com/xyz1090/n/n8b5fb1f69636,67,result_with_time,（2R3分09秒KO パウンド）
note-target-103-result,ターゲットNo.103試合結果,https://note.com/xyz1090/n/n8b5fb1f69636,72,result_with_time,（1R1分37秒KO 大外刈り）
note-emperor,エンペラー,https://note.com/xyz1090/n/n2beedca0a28d,60,result,２代目 むらき（ターゲットライト級王座統一）
note-nc257025df66a,マウンテン・ヒーローズNo.40試合結果,https://note.com/xyz1090/n/nc257025df66a,51,result_with_time,（1R1分35秒KO パウンド連打）
note-nc257025df66a,マウンテン・ヒーローズNo.40試合結果,https://note.com/xyz1090/n/nc257025df66a,56,result_with_time,（3R1分10秒KO 左フック→パウンド）
note-nc257025df66a,マウンテン・ヒーローズNo.40試合結果,https://note.com/xyz1090/n/nc257025df66a,61,result_with_time,（1R1分16秒KO 三日月蹴り）
note-n28dec20d5260,マウンテン・ヒーローズNo.40対戦カード,https://note.com/xyz1090/n/n28dec20d5260,4,matchup,マウンテン・ヒーローズNo.40対戦カード｜アラカク通信のーと
note-n28dec20d5260,マウンテン・ヒーローズNo.40対戦カード,https://note.com/xyz1090/n/n28dec20d5260,31,matchup,マウンテン・ヒーローズNo.40対戦カード
note-nff26f83e58f5,マウンテン・ヒーローズNo.39試合結果,https://note.com/xyz1090/n/nff26f83e58f5,51,result_with_time,（1R1分02秒KO 左ストレート→パウンド）
note-nff26f83e58f5,マウンテン・ヒーローズNo.39試合結果,https://note.com/xyz1090/n/nff26f83e58f5,56,result_with_time,（3R4分28秒KO 左フック→パウンド）
note-nff26f83e58f5,マウンテン・ヒーローズNo.39試合結果,https://note.com/xyz1090/n/nff26f83e58f5,61,result_with_time,（2R1分05秒KO 左フック→パウンド）
note-n4523b9139a53,エンペラーNo.120試合結果,https://note.com/xyz1090/n/n4523b9139a53,51,result_with_time,（1R3分24秒KO パウンド）
note-n4523b9139a53,エンペラーNo.120試合結果,https://note.com/xyz1090/n/n4523b9139a53,66,result_with_time,（2R3分00秒KO ハイキック）
note-n28b5489ba3da,マウンテン・ヒーローズNo.39対戦カード,https://note.com/xyz1090/n/n28b5489ba3da,4,matchup,マウンテン・ヒーローズNo.39対戦カード｜アラカク通信のーと
note-n28b5489ba3da,マウンテン・ヒーローズNo.39対戦カード,https://note.com/xyz1090/n/n28b5489ba3da,31,matchup,マウンテン・ヒーローズNo.39対戦カード
note-n28b5489ba3da,マウンテン・ヒーローズNo.39対戦カード,https://note.com/xyz1090/n/n28b5489ba3da,46,matchup,マウンテン・ヒーローズNo.39対戦カード
note-n331fef154e1f,エンペラーNo.120対戦カード,https://note.com/xyz1090/n/n331fef154e1f,4,matchup,エンペラーNo.120対戦カード｜アラカク通信のーと
note-n331fef154e1f,エンペラーNo.120対戦カード,https://note.com/xyz1090/n/n331fef154e1f,31,matchup,エンペラーNo.120対戦カード
note-n331fef154e1f,エンペラーNo.120対戦カード,https://note.com/xyz1090/n/n331fef154e1f,46,matchup,エンペラーNo.120対戦カード
note-nbc9d3618e052,ターゲットNo.102試合結果,https://note.com/xyz1090/n/nbc9d3618e052,56,result_with_time,（3R3分10秒KO 下からの蹴り上げ→パウンド）
note-nab8d74ad1a56,ターゲットNo.102対戦カード,https://note.com/xyz1090/n/nab8d74ad1a56,4,matchup,ターゲットNo.102対戦カード｜アラカク通信のーと
note-nab8d74ad1a56,ターゲットNo.102対戦カード,https://note.com/xyz1090/n/nab8d74ad1a56,31,matchup,ターゲットNo.102対戦カード
note-nab8d74ad1a56,ターゲットNo.102対戦カード,https://note.com/xyz1090/n/nab8d74ad1a56,46,matchup,ターゲットNo.102対戦カード
note-nea973af387f1,マウンテン・ヒーローズNo.38試合結果,https://note.com/xyz1090/n/nea973af387f1,47,result,☆M・Hミドル級タイトルマッチ
note-nea973af387f1,マウンテン・ヒーローズNo.38試合結果,https://note.com/xyz1090/n/nea973af387f1,55,result_with_time,（2R1分53秒KO パンチ連打）
note-nea973af387f1,マウンテン・ヒーローズNo.38試合結果,https://note.com/xyz1090/n/nea973af387f1,65,result_with_time,（1R1分45秒KO 左フック）
note-nea973af387f1,マウンテン・ヒーローズNo.38試合結果,https://note.com/xyz1090/n/nea973af387f1,74,result_with_time,（3R終了 判定3-0）
note-n40043569e548,マウンテン・ヒーローズNo.38対戦カード,https://note.com/xyz1090/n/n40043569e548,4,matchup,マウンテン・ヒーローズNo.38対戦カード｜アラカク通信のーと
note-n40043569e548,マウンテン・ヒーローズNo.38対戦カード,https://note.com/xyz1090/n/n40043569e548,31,matchup,マウンテン・ヒーローズNo.38対戦カード
note-n40043569e548,マウンテン・ヒーローズNo.38対戦カード,https://note.com/xyz1090/n/n40043569e548,46,matchup,マウンテン・ヒーローズNo.38対戦カード
note-n40043569e548,マウンテン・ヒーローズNo.38対戦カード,https://note.com/xyz1090/n/n40043569e548,47,result,☆M・Hミドル級タイトルマッチ
note-n2a15808854f2,エンペラーNo.119試合結果,https://note.com/xyz1090/n/n2a15808854f2,51,result_with_time,（1R終了時TKO コーナーストップ）
note-n2a15808854f2,エンペラーNo.119試合結果,https://note.com/xyz1090/n/n2a15808854f2,56,result_with_time,（1R2分09秒KO 左フック）
note-n2a15808854f2,エンペラーNo.119試合結果,https://note.com/xyz1090/n/n2a15808854f2,66,result_with_time,（1R2分24秒 RNC）
note-n9bc919ac257d,エンペラーNo.119対戦カード,https://note.com/xyz1090/n/n9bc919ac257d,4,matchup,エンペラーNo.119対戦カード｜アラカク通信のーと
note-n9bc919ac257d,エンペラーNo.119対戦カード,https://note.com/xyz1090/n/n9bc919ac257d,31,matchup,エンペラーNo.119対戦カード
note-n9bc919ac257d,エンペラーNo.119対戦カード,https://note.com/xyz1090/n/n9bc919ac257d,46,matchup,エンペラーNo.119対戦カード
note-n6e32a2c78e47,MAXバウトスペシャルワンマッチ大会No.2試合結果,https://note.com/xyz1090/n/n6e32a2c78e47,51,result_with_time,（3R1分57秒KO 左フック→パウンド）
note-n6e32a2c78e47,MAXバウトスペシャルワンマッチ大会No.2試合結果,https://note.com/xyz1090/n/n6e32a2c78e47,57,result_with_time,（1R3分00秒 RNC）
note-n6e32a2c78e47,MAXバウトスペシャルワンマッチ大会No.2試合結果,https://note.com/xyz1090/n/n6e32a2c78e47,62,result_with_time,（3R終了 判定2-1）
note-n6e32a2c78e47,MAXバウトスペシャルワンマッチ大会No.2試合結果,https://note.com/xyz1090/n/n6e32a2c78e47,67,result_with_time,（3R0分10秒KO 左フック→パウンド）
note-n6e32a2c78e47,MAXバウトスペシャルワンマッチ大会No.2試合結果,https://note.com/xyz1090/n/n6e32a2c78e47,72,result_with_time,（1R3分56秒KO パウンド）
note-n2c83076aedb9,MAXバウトスペシャルワンマッチ大会No.2対戦カード,https://note.com/xyz1090/n/n2c83076aedb9,4,matchup,MAXバウトスペシャルワンマッチ大会No.2対戦カード｜アラカク通信のーと
note-n2c83076aedb9,MAXバウトスペシャルワンマッチ大会No.2対戦カード,https://note.com/xyz1090/n/n2c83076aedb9,31,matchup,MAXバウトスペシャルワンマッチ大会No.2対戦カード
note-n2c83076aedb9,MAXバウトスペシャルワンマッチ大会No.2対戦カード,https://note.com/xyz1090/n/n2c83076aedb9,46,matchup,MAXバウトスペシャルワンマッチ大会No.2対戦カード
note-n2c83076aedb9,MAXバウトスペシャルワンマッチ大会No.2対戦カード,https://note.com/xyz1090/n/n2c83076aedb9,49,result,⑥メジャー戦績⑦主戦団体⑧タイトル
note-n15885dea4393,ターゲットNo.101試合結果,https://note.com/xyz1090/n/n15885dea4393,47,result,☆ターゲットミドル級タイトルマッチ
note-n15885dea4393,ターゲットNo.101試合結果,https://note.com/xyz1090/n/n15885dea4393,51,result_with_time,（1R3分35秒KO 左アッパー→パウンド）
note-n15885dea4393,ターゲットNo.101試合結果,https://note.com/xyz1090/n/n15885dea4393,52,result,ギタミン・アーロン防衛［1］
note-n15885dea4393,ターゲットNo.101試合結果,https://note.com/xyz1090/n/n15885dea4393,57,result_with_time,（2R3分29秒KO 飛び込みパンチ→パウンド）
note-n15885dea4393,ターゲットNo.101試合結果,https://note.com/xyz1090/n/n15885dea4393,67,result_with_time,（3R2分11秒KO パウンド）
note-n9bdb012eebc7,ターゲットNo.101対戦カード,https://note.com/xyz1090/n/n9bdb012eebc7,4,matchup,ターゲットNo.101対戦カード｜アラカク通信のーと
note-n9bdb012eebc7,ターゲットNo.101対戦カード,https://note.com/xyz1090/n/n9bdb012eebc7,31,matchup,ターゲットNo.101対戦カード
note-n9bdb012eebc7,ターゲットNo.101対戦カード,https://note.com/xyz1090/n/n9bdb012eebc7,46,matchup,ターゲットNo.101対戦カード
note-n9bdb012eebc7,ターゲットNo.101対戦カード,https://note.com/xyz1090/n/n9bdb012eebc7,47,result,☆ターゲットミドル級タイトルマッチ
note-n9c825ffb7bef,マウンテン・ヒーローズNo.37試合結果,https://note.com/xyz1090/n/n9c825ffb7bef,56,result_with_time,（3R2分55秒 KO 左アッパー→パウンド）
note-n9c825ffb7bef,マウンテン・ヒーローズNo.37試合結果,https://note.com/xyz1090/n/n9c825ffb7bef,61,result_with_time,（1R2分22秒KO 左ボディ→パウンド）
note-nced343dbb736,エンペラーNo.118試合結果,https://note.com/xyz1090/n/nced343dbb736,51,result_with_time,（3R終了 判定3-0）
note-n1ef5797085bc,エンペラーNo.118対戦カード,https://note.com/xyz1090/n/n1ef5797085bc,4,matchup,エンペラーNo.118対戦カード｜アラカク通信のーと
note-n1ef5797085bc,エンペラーNo.118対戦カード,https://note.com/xyz1090/n/n1ef5797085bc,31,matchup,エンペラーNo.118対戦カード
note-n1ef5797085bc,エンペラーNo.118対戦カード,https://note.com/xyz1090/n/n1ef5797085bc,46,matchup,エンペラーNo.118 対戦カード
note-n8a46f5d53a27,ターゲットNo.100試合結果,https://note.com/xyz1090/n/n8a46f5d53a27,47,result,☆ターゲットミドル級タイトルマッチ
note-n8a46f5d53a27,ターゲットNo.100試合結果,https://note.com/xyz1090/n/n8a46f5d53a27,51,result_with_time,（3R2分32秒TKO パウンド タオル投入）
note-n8a46f5d53a27,ターゲットNo.100試合結果,https://note.com/xyz1090/n/n8a46f5d53a27,53,result,☆ターゲットライト級タイトルマッチ
note-n8a46f5d53a27,ターゲットNo.100試合結果,https://note.com/xyz1090/n/n8a46f5d53a27,57,result_with_time,（3R終了判定2-1）
note-n8a46f5d53a27,ターゲットNo.100試合結果,https://note.com/xyz1090/n/n8a46f5d53a27,58,result,わくがタイトル防衛成功（2度目）
note-n8a46f5d53a27,ターゲットNo.100試合結果,https://note.com/xyz1090/n/n8a46f5d53a27,63,result_with_time,（1R1分20秒KO 左フック）
note-n8a46f5d53a27,ターゲットNo.100試合結果,https://note.com/xyz1090/n/n8a46f5d53a27,68,result_with_time,（2R2分15秒KO 踏みつけ→サッカーボールキック）
note-n6b86d08a619d,ターゲットNo.100対戦カード,https://note.com/xyz1090/n/n6b86d08a619d,4,matchup,ターゲットNo.100対戦カード｜アラカク通信のーと
note-n6b86d08a619d,ターゲットNo.100対戦カード,https://note.com/xyz1090/n/n6b86d08a619d,31,matchup,ターゲットNo.100対戦カード
note-n6b86d08a619d,ターゲットNo.100対戦カード,https://note.com/xyz1090/n/n6b86d08a619d,46,matchup,ターゲットNo.100対戦カード
note-n6b86d08a619d,ターゲットNo.100対戦カード,https://note.com/xyz1090/n/n6b86d08a619d,47,result,☆ターゲットミドル級タイトルマッチ
note-n6b86d08a619d,ターゲットNo.100対戦カード,https://note.com/xyz1090/n/n6b86d08a619d,57,result,☆ターゲットライト級タイトルマッチ
